26NA20151212;Omar, A.M., Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878291
26NA20160206;Becker, M., Olsen, A., and Omar, A.M. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878292
26NA20160215;Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878293
26NA20160409;Becker, M., Olsen, A., and Omar, A.M. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878294
26NA20160418;Becker, M., Olsen, A., and Omar, A.M. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878295
26NA20160530;Becker, M., Olsen, A., and Omar, A.M. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878296
26NA20160612;Becker, M., Olsen, A., and Omar, A.M. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878297
26NA20160804;Becker, M., Olsen, A., and Omar, A.M. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878298
26NA20160916;Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878299
26NA20160926;Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878300
26NA20161027;Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878301
26NA20161207;Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878302
26NA20161217;Becker, M., Olsen, A., and Johannessen, T. (2017). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.878303
26NA20161229;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891528
26NA20170106;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891529
26NA20170117;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891530
26NA20170204;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891531
26NA20170217;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891532
26NA20170308;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891533
26NA20170318;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891534
26NA20170330;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891535
26NA20170409;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891536
26NA20170421;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891537
26NA20170430;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891538
26NA20170511;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891539
26NA20170522;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891540
26NA20170601;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891541
26NA20170630;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891542
26NA20170715;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891543
26NA20170725;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891544
26NA20170803;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891545
26NA20170812;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891546
26NA20170824;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891547
26NA20170901;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891548
26NA20170916;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891549
26NA20170925;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891550
26NA20171004;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891551
26NA20171015;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891552
26NA20171026;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891553
26NA20171105;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891554
26NA20171206;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891555
26NA20171217;Becker, M., and Olsen, A. (2018). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.891556
26NA20180118;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906322
26NA20180126;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906323
26NA20180208;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906324
26NA20180218;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906325
26NA20180330;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906326
26NA20180407;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906327
26NA20180424;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906328
26NA20180505;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906329
26NA20180516;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906330
26NA20180526;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906331
26NA20180604;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906333
26NA20180616;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906334
26NA20180628;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906335
26NA20180708;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906336
26NA20180719;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906337
26NA20180729;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906338
26NA20180809;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906339
26NA20180828;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906340
26NA20180908;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906341
26NA20181011;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906342
26NA20181021;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906343
26NA20181031;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906344
26NA20181121;Becker, M., and Olsen, A. (2019). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.906345
26NA20190116;Becker, M., and Olsen, A. (2020). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.xxxxxx
26NA20190126;Becker, M., and Olsen, A. (2020). Underway physical oceanography and carbon dioxide measurements during Nuka Arctica cruise;10.1594/PANGAEA.xxxxxx
