2023-05-12T19:54:41.000Z,W M
2023-05-12T19:54:42.000Z,W M
2023-05-12T19:54:43.000Z,W M
2023-05-12T19:54:44.000Z,W M
2023-05-12T19:54:45.000Z,W M
2023-05-12T19:54:46.000Z,W M
2023-05-12T19:54:47.000Z,W M
2023-05-12T19:54:48.000Z,W M
2023-05-12T19:54:49.000Z,W M
2023-05-12T19:54:50.000Z,W M
2023-05-12T19:56:51.000Z,A M
2023-05-12T19:56:52.000Z,A M
2023-05-12T19:56:53.000Z,A M
2023-05-12T19:56:54.000Z,A M
2023-05-12T19:56:55.000Z,A M
2023-05-12T19:56:56.000Z,A M
2023-05-12T19:56:57.000Z,A M
2023-05-12T19:56:58.000Z,A M
2023-05-12T19:56:59.000Z,A M
2023-05-12T19:57:00.000Z,A M
2023-05-13T01:54:41.000Z,W M
2023-05-13T01:54:42.000Z,W M
2023-05-13T01:54:43.000Z,W M
2023-05-13T01:54:44.000Z,W M
2023-05-13T01:54:45.000Z,W M
2023-05-13T01:54:46.000Z,W M
2023-05-13T01:54:47.000Z,W M
2023-05-13T01:54:48.000Z,W M
2023-05-13T01:54:49.000Z,W M
2023-05-13T01:54:50.000Z,W M
2023-05-13T01:56:50.000Z,A M
2023-05-13T01:56:51.000Z,A M
2023-05-13T01:56:52.000Z,A M
2023-05-13T01:56:53.000Z,A M
2023-05-13T01:56:54.000Z,A M
2023-05-13T01:56:55.000Z,A M
2023-05-13T01:56:56.000Z,A M
2023-05-13T01:56:57.000Z,A M
2023-05-13T01:56:58.000Z,A M
2023-05-13T01:56:59.000Z,A M
2023-05-13T07:54:41.000Z,W M
2023-05-13T07:54:42.000Z,W M
2023-05-13T07:54:43.000Z,W M
2023-05-13T07:54:44.000Z,W M
2023-05-13T07:54:45.000Z,W M
2023-05-13T07:54:46.000Z,W M
2023-05-13T07:54:47.000Z,W M
2023-05-13T07:54:48.000Z,W M
2023-05-13T07:54:49.000Z,W M
2023-05-13T07:54:50.000Z,W M
