2023-04-28T02:17:37.000Z,EQU
2023-04-28T02:19:29.000Z,EQU
2023-04-28T02:21:20.000Z,EQU
2023-04-28T02:23:12.000Z,EQU
2023-04-28T02:25:04.000Z,EQU
2023-04-28T02:29:33.000Z,STD2
2023-04-28T02:31:22.000Z,STD2
2023-04-28T02:33:11.000Z,STD2
2023-04-28T02:37:41.000Z,STD3
2023-04-28T02:39:30.000Z,STD3
2023-04-28T02:41:19.000Z,STD3
2023-04-28T02:45:48.000Z,STD4
2023-04-28T02:47:58.000Z,STD4
2023-04-28T02:49:48.000Z,STD4
2023-04-28T02:54:17.000Z,ATM
2023-04-28T02:56:06.000Z,ATM
2023-04-28T02:57:55.000Z,ATM
2023-04-28T02:59:45.000Z,ATM
2023-04-28T03:01:34.000Z,ATM
2023-04-28T03:06:44.000Z,EQU
2023-04-28T03:08:36.000Z,EQU
2023-04-28T03:10:28.000Z,EQU
2023-04-28T03:12:19.000Z,EQU
2023-04-28T03:14:11.000Z,EQU
2023-04-28T03:16:03.000Z,EQU
2023-04-28T03:17:54.000Z,EQU
2023-04-28T03:19:46.000Z,EQU
2023-04-28T03:21:37.000Z,EQU
2023-04-28T03:23:29.000Z,EQU
2023-04-28T03:25:20.000Z,EQU
