Date/Time,Value
2022-04-08T11:56:34.000Z,36.042
2022-04-08T11:58:55.000Z,36.042
2022-04-08T12:01:17.000Z,36.043
2022-04-08T12:03:38.000Z,36.043
2022-04-08T12:06:00.000Z,36.043
2022-04-08T12:11:47.000Z,36.044
2022-04-08T12:14:12.000Z,36.041
2022-04-08T12:16:37.000Z,36.038
2022-04-08T12:19:01.000Z,36.036
2022-04-08T12:21:26.000Z,36.028
2022-04-08T12:23:51.000Z,36.017
2022-04-08T12:26:15.000Z,36.004
2022-04-08T12:28:40.000Z,35.99
2022-04-08T12:31:05.000Z,35.978
2022-04-08T12:33:50.000Z,35.968
2022-04-08T12:36:14.000Z,35.964
2022-04-08T12:38:39.000Z,35.956
2022-04-08T12:41:04.000Z,35.948
2022-04-08T12:43:29.000Z,35.948
2022-04-08T12:45:53.000Z,35.942
2022-04-08T12:48:18.000Z,35.937
2022-04-08T12:50:43.000Z,35.934
2022-04-08T12:53:08.000Z,35.93
2022-04-08T12:55:32.000Z,35.928
2022-04-08T12:57:57.000Z,35.925
2022-04-08T13:00:22.000Z,35.922
2022-04-08T13:02:47.000Z,35.918
2022-04-08T13:05:11.000Z,35.913
2022-04-08T13:07:36.000Z,35.908
2022-04-08T13:10:01.000Z,35.904
2022-04-08T13:12:25.000Z,35.899
2022-04-08T13:14:50.000Z,35.894
2022-04-08T13:17:15.000Z,35.889
2022-04-08T13:19:40.000Z,35.887
2022-04-08T13:22:04.000Z,35.886
2022-04-08T13:24:29.000Z,35.885
2022-04-08T13:26:54.000Z,35.883
2022-04-08T13:29:18.000Z,35.883
2022-04-08T13:31:43.000Z,35.883
2022-04-08T13:34:28.000Z,35.884
2022-04-08T13:36:53.000Z,35.886
2022-04-08T13:39:18.000Z,35.887
2022-04-08T13:41:42.000Z,35.889
2022-04-08T13:44:07.000Z,35.889
2022-04-08T13:46:32.000Z,35.89
2022-04-08T13:48:56.000Z,35.89
2022-04-08T13:51:21.000Z,35.885
2022-04-08T13:53:46.000Z,35.884
2022-04-08T13:56:11.000Z,35.883
2022-04-08T13:58:35.000Z,35.883
2022-04-08T14:01:00.000Z,35.884
2022-04-08T14:03:25.000Z,35.885
2022-04-08T14:05:49.000Z,35.89
2022-04-08T14:08:14.000Z,35.896
2022-04-08T14:10:39.000Z,35.9
2022-04-08T14:13:04.000Z,35.91
2022-04-08T14:15:28.000Z,35.924
2022-04-08T14:17:53.000Z,35.924
2022-04-08T14:20:18.000Z,35.925
2022-04-08T14:22:42.000Z,35.926
2022-04-08T14:25:07.000Z,35.924
2022-04-08T14:27:32.000Z,35.92
2022-04-08T14:29:57.000Z,35.916
2022-04-08T14:32:22.000Z,35.914
2022-04-08T14:35:06.000Z,35.908
2022-04-08T14:37:31.000Z,35.905
2022-04-08T14:39:56.000Z,35.902
2022-04-08T14:42:21.000Z,35.9
2022-04-08T14:44:45.000Z,35.897
2022-04-08T14:47:10.000Z,35.894
2022-04-08T14:49:35.000Z,35.889
2022-04-08T14:51:59.000Z,35.884
2022-04-08T14:54:24.000Z,35.881
2022-04-08T14:56:49.000Z,35.878
2022-04-08T14:59:14.000Z,35.875
2022-04-08T15:01:38.000Z,35.872
2022-04-08T15:04:03.000Z,35.851
2022-04-08T15:06:28.000Z,35.814
2022-04-08T15:08:52.000Z,35.784
2022-04-08T15:11:17.000Z,35.757
2022-04-08T15:13:42.000Z,35.747
2022-04-08T15:16:06.000Z,35.741
2022-04-08T15:18:31.000Z,35.734
2022-04-08T15:20:56.000Z,35.729
2022-04-08T15:23:21.000Z,35.725
2022-04-08T15:42:30.000Z,35.704
2022-04-08T15:44:51.000Z,35.702
2022-04-08T15:47:13.000Z,35.7
2022-04-08T15:49:34.000Z,35.696
2022-04-08T15:51:56.000Z,35.694
2022-04-08T15:57:44.000Z,35.686
2022-04-08T16:00:08.000Z,35.68
2022-04-08T16:02:33.000Z,35.677
2022-04-08T16:04:57.000Z,35.675
2022-04-08T16:07:22.000Z,35.674
2022-04-08T16:09:47.000Z,35.672
2022-04-08T16:12:11.000Z,35.671
2022-04-08T16:14:36.000Z,35.666
2022-04-08T16:17:01.000Z,35.662
2022-04-08T16:19:25.000Z,35.661
2022-04-08T16:21:50.000Z,35.659
2022-04-08T16:24:15.000Z,35.655
2022-04-08T16:26:39.000Z,35.652
2022-04-08T16:29:04.000Z,35.637
2022-04-08T16:31:29.000Z,35.625
2022-04-08T16:34:13.000Z,35.62
2022-04-08T16:36:38.000Z,35.614
2022-04-08T16:39:02.000Z,35.611
2022-04-08T16:41:27.000Z,35.608
2022-04-08T16:43:52.000Z,35.606
2022-04-08T16:46:17.000Z,35.603
2022-04-08T16:48:41.000Z,35.602
2022-04-08T16:51:06.000Z,35.601
2022-04-08T16:53:31.000Z,35.597
2022-04-08T16:55:55.000Z,35.592
2022-04-08T16:58:20.000Z,35.584
2022-04-08T17:00:45.000Z,35.574
2022-04-08T17:03:09.000Z,35.564
2022-04-08T17:05:34.000Z,35.556
2022-04-08T17:07:59.000Z,35.547
2022-04-08T17:10:23.000Z,35.538
2022-04-08T17:12:48.000Z,35.527
2022-04-08T17:15:12.000Z,35.511
2022-04-08T17:17:37.000Z,35.496
2022-04-08T17:20:02.000Z,35.48
2022-04-08T17:22:26.000Z,35.463
2022-04-08T17:24:51.000Z,35.453
2022-04-08T17:27:16.000Z,35.445
2022-04-08T17:29:40.000Z,35.438
