Type	error	PC Date	PC Time	GPS date	gps time	latitude	longitude	equ temp	std val	CO2 mv	CO2 um/m	H2O mv	H2O mm/m	licor temp	licor press	 atm press	equ press	H2O flow	licor flow	equ pump	vent flow	atm cond	equ cond	drip 1	Aux. H2Oflow	cond temp	dry box temp	deck box temp	Fluke Temp2	Oxygen	Saturation	Optode Temp	WB Pressure	O2_Cal_status
EQU	0	30/08/18	00:01:56	//	00:01:57	57.7709	8.9455	17.11	NaN	2046.70	353.14	196.33	1.31	34.48	1014.70	1011.31	-0.33	2.86	84.26	124.00	1065.08	9.89	9.89	9.89	4.26	4.94	27.94	34.36	16.987	298.572	99.233	17.150	1015.00	1
EQU	0	30/08/18	00:03:29	//	00:03:29	57.7707	8.9332	17.14	NaN	2047.90	353.42	196.95	1.31	34.46	1014.70	1011.35	-0.34	2.85	84.79	124.00	1065.03	9.89	9.89	9.89	3.86	4.75	27.94	34.25	16.988	298.332	99.203	17.174	1014.99	1
EQU	0	30/08/18	00:05:01	//	00:05:02	57.7705	8.9207	17.12	NaN	2051.20	354.10	197.08	1.31	34.43	1014.70	1011.23	-0.42	2.86	84.05	124.00	1065.05	9.89	9.89	9.89	3.96	4.94	27.94	34.25	16.973	297.992	99.050	17.155	1014.96	1
EQU	0	30/08/18	00:06:34	//	00:06:35	57.7704	8.9083	17.12	NaN	2053.70	354.66	197.08	1.31	34.42	1014.80	1011.31	-0.29	2.87	85.17	124.00	1065.03	9.89	9.89	9.89	3.94	5.00	28.00	34.25	16.981	298.317	99.158	17.155	1015.00	1
EQU	0	30/08/18	00:08:07	//	00:08:08	57.7702	8.8958	17.12	NaN	2054.40	354.82	198.12	1.32	34.40	1014.70	1011.34	-0.35	2.86	85.33	124.00	1065.03	9.89	9.89	9.89	4.00	4.69	27.94	34.25	16.976	298.492	99.218	17.155	1014.99	1
EQU	0	30/08/18	00:09:39	//	00:09:40	57.7699	8.8835	17.12	NaN	2054.60	354.88	198.04	1.32	34.38	1014.60	1011.35	-0.31	2.86	85.49	124.00	1064.98	9.89	9.89	9.89	3.65	4.94	27.94	34.15	16.991	298.631	99.262	17.154	1014.92	1
STD1	0	30/08/18	00:14:10	//	00:14:11	57.7689	8.8475	17.03	0.00	6.47	-0.09	-20.54	-0.13	34.34	1014.60	1011.34	-0.36	2.87	80.45	124.00	1064.95	9.89	9.89	9.89	2.86	4.87	27.94	34.15	16.870	298.393	98.982	17.057	1014.96	1
STD2	0	30/08/18	00:18:40	//	00:18:41	57.7680	8.8116	16.95	189.97	1235.60	189.40	-27.96	-0.17	34.29	1014.70	1011.33	-0.37	2.86	65.39	124.00	1064.90	9.89	9.89	9.89	4.19	4.87	27.87	34.25	16.781	298.174	98.740	16.975	0.00	1
STD3	0	30/08/18	00:23:11	//	00:23:12	57.7673	8.7757	16.92	395.35	2224.30	393.89	-32.04	-0.20	34.26	1014.60	1011.25	-0.37	2.87	76.49	124.00	1064.79	9.89	9.89	9.89	4.07	4.81	27.87	34.04	16.790	298.052	98.670	16.961	1014.85	1
STD4	0	30/08/18	00:27:41	//	00:27:42	57.7669	8.7403	16.88	519.92	2714.60	519.71	-32.62	-0.20	34.20	1014.60	1011.31	-0.41	2.85	70.10	124.00	1064.69	9.89	9.89	9.89	3.82	4.81	27.81	33.94	16.706	298.245	98.611	16.902	1014.95	1
